name,lat,lng,type,state,district,beds,emergency
Navkar Child Care Centre and Nursing Home,19.2182323,72.8682885,hospital,Maharashtra,Mumbai,,
Guru Ram Das Hospital,30.9622716,74.6166663,hospital,Punjab,Firozpur,,
"Sanjivni Hospital, Patiala",30.4776822,76.5989166,hospital,Punjab,Patiala,,
Giani Lal Singh Memorial Hospital,30.3320312,76.3812084,hospital,Punjab,Fatehgarh Sahib,,
Randhawa Hospital,31.6422779,74.8648882,hospital,Punjab,Amritsar,,
"Sood Hospital, Sangrur",30.6729488,75.8262017,hospital,Punjab,Sangrur,,
Dhulabapu Kokare Memorial Hospital,18.1543697,74.5851074,hospital,Maharashtra,Pune,,
"Kothalkar Ent, Maternity and Surgical Nursing Home",21.1292993,79.1125435,hospital,Maharashtra,Nagpur,,
Umrani Hospital and ICU Centre,17.0515317,74.2667929,hospital,Maharashtra,Sangli,,
Gillurkar Multispeciality Hospital,21.1315222,79.1096624,hospital,Maharashtra,Nagpur,,
Dr. Nandini Athavale's Hospital For Children,21.0087573,75.5628397,hospital,Maharashtra,Jalgaon,,
Dr.Amar Kulkarni,16.6803839,74.4643564,hospital,Maharashtra,Kolhapur,,
Sri Ram Hospital,18.2389428,75.6978171,hospital,Maharashtra,Solapur,,
Sanjivani Hospital,19.4551562,72.8101784,hospital,Maharashtra,Thane,,
Dr. Kurhade Hospital,19.0957126,74.7329079,hospital,Maharashtra,Ahmednagar,,
Karandikar Hospital and Research Centre,19.984284,73.7770866,hospital,Maharashtra,Nashik,,
Jeewan Jyot Multispeciality Medical Care Center,18.5569451,73.9074788,hospital,Maharashtra,Pune,,
Sanjeevani Hospital,21.2851582,77.5170355,hospital,Maharashtra,Amravati,,
Shivam Eye Care Center,20.0071079,73.7738478,hospital,Maharashtra,Nashik,,
Social Service League Kalyan's Charitable Eye and General Hospital,19.2423079,73.1284654,hospital,Maharashtra,Thane,,
Firke Accident Hospital,21.0555906,75.7820955,hospital,Maharashtra,Jalgaon,,
Suretech Hospital and Research Centre,21.1372887,79.0800371,hospital,Maharashtra,Nagpur,,
Ekveera Hospital,19.8701897,75.3745365,hospital,Maharashtra,Aurangabad,,
Apple Saraswati Multispeciality Hospital,16.7224375,74.2545587,hospital,Maharashtra,Kolhapur,,
Tuljai Hosital,18.4038488,76.5527531,hospital,Maharashtra,Latur,,
Ganpati Hospital,20.8762761,75.1129487,hospital,Maharashtra,Jalgaon,,
Saraswati Hospital(Kandivali),19.2203132,72.8293919,hospital,Maharashtra,Mumbai,,
Navjeewan Hospital,19.2288719,72.9827088,hospital,Maharashtra,Thane,,
"Shreyash Hospital, Satara",17.4440054,74.5462301,hospital,Maharashtra,Satara,,
Meher Nursing and Maternity Home,21.1389312,79.0604992,hospital,Maharashtra,Nagpur,,
Sai Aashirwad Hospital Iccu and Polyclinic,19.3090803,72.8595994,hospital,Maharashtra,Thane,,
Panchsheel Maternity Home,17.6711446,75.9081653,hospital,Maharashtra,Solapur,,
Aparna Hospital,17.6779578,75.9047569,hospital,Maharashtra,Solapur,,
Jay Hospital,17.6741794,75.9217004,hospital,Maharashtra,Solapur,,
Arpan Hospital,21.0509522,75.7810112,hospital,Maharashtra,Jalgaon,,
Devganga Hospital,19.0008578,73.9449419,hospital,Maharashtra,Pune,,
Gulve Hospital,17.8901434,75.0062605,hospital,Maharashtra,Solapur,,
KRYPTON Heritage Health Care,19.1475981,72.9973564,hospital,Maharashtra,Thane,,
Navjeevan Hospital,19.0705622,72.998676,hospital,Maharashtra,Thane,,
International Institute Of Sleep Sciences,19.1879462,72.9688123,hospital,Maharashtra,Mumbai,,
Pooja Hospital,18.5023551,73.9288205,hospital,Maharashtra,Pune,,
Worli Hospital For Women,19.0128124,72.8225863,hospital,Maharashtra,Mumbai,,
Mudhale Nursing Home and Kolhapur Endoscopy Centre,16.7062195,74.2440364,hospital,Maharashtra,Kolhapur,,
Dr. Mainkar Hospital,18.3424837,74.0294194,hospital,Maharashtra,Pune,,
Dr. Tilwe Maternity and Nursing Home,19.0719742,72.9999232,hospital,Maharashtra,Thane,,
Dr Gupte Lying-In Surgical Hospital,19.0716358,72.837663,hospital,Maharashtra,Mumbai,,
Dr Manohar Dole General Hospital,19.1201324,73.9728577,hospital,Maharashtra,Pune,,
Chandra Hospital,18.4522084,73.890656,hospital,Maharashtra,Pune,,
Chaitanya Seva Hospital,17.6879006,74.0088851,hospital,Maharashtra,Satara,,
Nobel Hospital,19.1178231,74.7300352,hospital,Maharashtra,Ahmednagar,,
Bilal Hospital I.C.U,19.1632399,73.0291231,hospital,Maharashtra,Thane,,
Mandade Maternity Hospital,18.4062373,76.5524648,hospital,Maharashtra,Latur,,
Tajkrupa Hospital,21.1796663,79.0426748,hospital,Maharashtra,Nagpur,,
Dalvi Hospital,18.3457705,74.0291901,hospital,Maharashtra,Pune,,
Dr.Apte Maternity and Nursing Home,19.1976487,72.8388378,hospital,Maharashtra,Mumbai,,
Shakuntala Memorial Surgical Childerns and General Hospital,19.1277787,72.8625767,hospital,Maharashtra,Mumbai,,
Vaibhavi Hospital,18.4994249,73.9469039,hospital,Maharashtra,Pune,,
Om Critical Care and Trauma Centre,21.0072549,75.5670547,hospital,Maharashtra,Jalgaon,,
Soniccha Accident Hospital,21.0376164,75.7808986,hospital,Maharashtra,Jalgaon,,
The Kalyan Hospital and Iccu,19.2558239,73.1424947,hospital,Maharashtra,Thane,,
Sai Sparsh Hospital and Iccu,19.1432944,72.9253297,hospital,Maharashtra,Mumbai,,
K B Haji Bachooali Charitable Ophthalmic and E N T H,19.0030769,72.8402299,hospital,Maharashtra,Mumbai,,
Pargaonkar Hospital,19.8766353,75.3168885,hospital,Maharashtra,Aurangabad,,
Tara Children Hospital,16.2197457,74.3515554,hospital,Maharashtra,Kolhapur,,
Ashwini Kidney and Dialysis Centre,21.1350222,79.0771571,hospital,Maharashtra,Nagpur,,
Ashirwad Hospitals,19.2061228,73.1865513,hospital,Maharashtra,Thane,,
Burande Hospital,18.1479647,73.8437174,hospital,Maharashtra,Pune,,
Fracture Care Hospital and Diagnostic Centre,19.2229393,72.8534102,hospital,Maharashtra,Mumbai,,
Shushrusha Hospital,16.8579359,74.5660728,hospital,Maharashtra,Sangli,,
Sanjeevan Hospital,20.9195676,77.7526796,hospital,Maharashtra,Amravati,,
"Ankur Hospital, Shivaji Nagar",18.6062334,73.7729748,hospital,Maharashtra,Nanded,,
Ashirwad Hospital,19.2140209,73.1588609,hospital,Maharashtra,Thane,,
"Siddhivinayak Medicentres Pvt. Ltd. Deore Hospital, Chalisgaon",20.4674655,75.0082594,hospital,Maharashtra,Jalgaon,,
Dr. V.M. Deo Memorial Hospital,21.1353612,79.0551938,hospital,Maharashtra,Nagpur,,
Sangeeta Hospital,16.6946259,74.2153206,hospital,Maharashtra,Kolhapur,,
Saidham Hospital,18.6195467,73.8433908,hospital,Maharashtra,Pune,,
Unique Hospital,17.6777457,75.9065634,hospital,Maharashtra,Solapur,,
Shree Shraddha Multispeciality Medical Centre,19.2110556,73.1960759,hospital,Maharashtra,Thane,,
Sushrusha Orthopaedic and Spine Care Hospital,20.9251345,77.7642533,hospital,Maharashtra,Amravati,,
Bhosale Hospital,19.1175684,73.9759295,hospital,Maharashtra,Pune,,
Jeevandhara Hospital,17.6864242,74.0168828,hospital,Maharashtra,Satara,,
Gokhale Orthopaedic Centre,19.2155298,73.090018,hospital,Maharashtra,Thane,,
Sushrut Hospital,20.9122279,74.7752492,hospital,Maharashtra,Dhule,,
"Government Hospital, Bisam",19.5108539,83.5068679,hospital,Odisha,Rayagada,,
Brar Eye Hospital,30.5885775,74.8168623,hospital,Punjab,Faridkot,,
Singla Children Hospital,31.5293752,75.9044511,hospital,Punjab,Hoshiarpur,,
Siddhi Multi Speciality Ayurveda Hospital and Research Institute,22.5031868,88.3414158,hospital,West Bengal,Kolkata,,
SilverLine Eye Hospital,22.5029093,88.3610965,hospital,West Bengal,Kolkata,,
"Sri Guru Ram Dass Hospital, Amritsar",31.6150994,74.8819482,hospital,Punjab,Amritsar,,
"Sanjeevan Hospital, Amritsar",31.6200423,74.8652706,hospital,Punjab,Amritsar,,
Miglani Hospital,31.6390452,74.8862271,hospital,Punjab,Amritsar,,
"Seth Hospital, Ludhiana",30.9071019,75.8267494,hospital,Punjab,Ludhiana,,
Spandan Hospital,22.6205424,88.4329529,hospital,West Bengal,Kolkata,,
Spectra Eye Foundation,22.693581,88.4664792,hospital,West Bengal,North 24 Parganas,,
Sri Aurobindo Seva Kendra (EEDF),22.5032339,88.3644935,hospital,West Bengal,Kolkata,,
Sri Guru Sangha Chikitsalaya,23.412404,88.3764026,hospital,West Bengal,Nadia,,
Srijoni Healing Home,22.566876,88.3931999,hospital,West Bengal,Kolkata,,
Sri Lakshmi Narayana Trust Maternity Home and Hospital,22.5353788,88.3518905,hospital,West Bengal,Kolkata,,
D S Hospital,31.6146779,74.8897569,hospital,Punjab,Amritsar,,
Gee Bee Hospital and Maternity Home,31.2199511,75.7782254,hospital,Punjab,Kapurthala,,
"Singhania Hospital, Amritsar",31.6201593,74.8828059,hospital,Punjab,Amritsar,,
Nagpal Superspeciality Hospital,30.2126074,74.9422702,hospital,Punjab,Bathinda,,
SMI Pvt Ltd,22.562627,88.3187538,hospital,West Bengal,Howrah,,
Smt. Sarla Pahwa Memorial Eye Centre,22.5697343,88.3257383,hospital,West Bengal,Howrah,,
Verma E.N.T. Hospital and Saraswati Laser Surgery Centre,31.3237346,75.5664571,hospital,Punjab,Jalandhar,,
Shree Vishudhanand Hospital and Research Institute,22.5819362,88.355944,hospital,West Bengal,Kolkata,,
Alpha Medical Services Pvt. Ltd.,22.5925889,88.3421754,hospital,West Bengal,Howrah,,
Patiala Heart Institute,30.3312385,76.3829565,hospital,Punjab,Fatehgarh Sahib,,
Bawa Hospital (P) Ltd.,30.9162992,75.8340497,hospital,Punjab,Ludhiana,,
Pabby Hospital and Maternity Home,30.3663332,75.5388287,hospital,Punjab,Barnala,,
Amrit Hospital,30.8326564,75.1731697,hospital,Punjab,Moga,,
Bath Hospital,31.3117453,75.5887184,hospital,Punjab,Jalandhar,,
Gobind Hospital and Lab - Patiala,30.3551491,76.3941972,hospital,Punjab,Fatehgarh Sahib,,
Med Card Multispecialty Hospital,31.6013328,74.8821389,hospital,Punjab,Amritsar,,
"Seva Sadan Hospital, Darjeeling",27.0733801,88.4766126,hospital,West Bengal,Darjeeling,,
Sevangan Medical Complex,22.4674584,88.3739229,hospital,West Bengal,Kolkata,,
Sevatirtham Nursing Home,22.364906,88.4318921,hospital,West Bengal,South 24 Parganas,,
Sharanya Multispeciality Hospital,23.2203218,87.9069771,hospital,West Bengal,Bardhaman,,
Shiny Swadha Eye Care,22.596013,88.341794,hospital,West Bengal,Howrah,,
Shree Jain Hospital And Research Centre,22.5714259,88.3297522,hospital,West Bengal,Howrah,,
Dakshinee Eye Foundation,22.4814755,88.3756904,hospital,West Bengal,Kolkata,,
D.B.M Suri Lions Eye Hospital,23.9170762,87.5225522,hospital,West Bengal,Birbhum,,
D.B. Eye Foundation,22.5738494,88.328214,hospital,West Bengal,Kolkata,,
Complete Care,22.5152875,88.3574648,hospital,West Bengal,Kolkata,,
Shobhana Maternity and Surgical Home,19.3081013,72.8551671,hospital,Maharashtra,Thane,,
Global Hospital & Research Institute,18.5013237,73.8410144,hospital,Maharashtra,Pune,,
Dr Chauhans Sanjeevani Hospital,19.0699633,72.9047685,hospital,Maharashtra,Mumbai,,yes
Sanjayot Netralaya,16.6911922,74.4532929,hospital,Maharashtra,Kolhapur,,
"Gaikwad Hospital, Satara",17.3984086,74.1654792,hospital,Maharashtra,Satara,,
Baheti Hospital,21.1346645,79.0794256,hospital,Maharashtra,Nagpur,,
Naveen Heart and Chest Clinic,30.1408325,74.2064781,hospital,Punjab,Firozpur,,
Gulati Ent and Allergy Hospital,30.8922669,75.8449745,hospital,Punjab,Ludhiana,,
Kamal Hospital and Maternity Home,20.811648,75.7700215,hospital,Maharashtra,Jalgaon,,
Dr. Joshi Surgical and Maternity Hospital,19.1126049,72.8425607,hospital,Maharashtra,Mumbai,,
Dr. Anup D Souza Orthopaedic Surgeon,19.3830753,72.8285428,hospital,Maharashtra,Thane,,
Dr Ajit Upase Hospital,17.680721,75.90575,hospital,Maharashtra,Solapur,,
Kumars Maternity and Surgical Nursing Home,19.2160186,73.0905692,hospital,Maharashtra,Thane,,
"Sareen Hospital, Amritsar",31.6437686,74.8982486,hospital,Punjab,Amritsar,,
"Civil Hospital, Firozpur",30.9522125,74.6079303,hospital,Punjab,Firozpur,,
Chittaranjan Advanced Medical Refferal Institute(Camri) Hospital,23.220312,87.9100703,hospital,West Bengal,Bardhaman,,
"Indus Hospital, Ludhiana",30.8902711,75.7890294,hospital,Punjab,Ludhiana,,
LAB-O-AID,22.6558773,88.3595957,hospital,West Bengal,Kolkata,,
Amala Arogya Niketan (Nursing Home),23.811702,86.8853979,hospital,West Bengal,Bardhaman,,
North Bengal Neuro Research Centre Pvt. Ltd,26.7306953,88.4150791,hospital,West Bengal,Darjeeling,,
Alokon Eye Care Pvt. Ltd.,22.6065947,88.4038757,hospital,West Bengal,Kolkata,,
Mohanananda Brahmachari Sishu Seva Pratisthan,22.5016929,88.3210942,hospital,West Bengal,Kolkata,,
Genesis Health Point,22.2798018,87.9213595,hospital,West Bengal,Medinipur East,,
Critical and Trauma Care Hospital,22.6235465,88.374517,hospital,West Bengal,Kolkata,,
Dr Preet Iner Singh Eye Hospital,30.3353752,76.4078495,hospital,Punjab,Fatehgarh Sahib,,
Debipur Netralaya Pvt Ltd,23.1693397,88.0979222,hospital,West Bengal,Bardhaman,,
Netaji Subhash Chandra Bose Cancer Reasearch Inst,22.4800554,88.4076208,hospital,West Bengal,Kolkata,,
Debdoot Sevayan,22.5079159,88.3439103,hospital,West Bengal,Kolkata,,
Duttapukur Seva Sadan and Maternity Home,22.7654344,88.5543886,hospital,West Bengal,North 24 Parganas,,
Chintamani Hospital and Urology Center,19.1100084,74.7299252,hospital,Maharashtra,Ahmednagar,,
Ami Drashti Eye Care Centre,19.0806727,72.9039069,hospital,Maharashtra,Mumbai,,
Satyam Multispeciality Hospital and Trauma Centre,19.0990443,73.0046439,hospital,Maharashtra,Thane,,
Shri Balvantrao Birnale Memorial Hospital,16.8533828,74.5733158,hospital,Maharashtra,Sangli,,
Rawat Accident Hospital,21.283022,77.5168336,hospital,Maharashtra,Amravati,,
Deshmukh General Hospital,19.7748337,74.4745508,hospital,Maharashtra,Ahmednagar,,
"Lokmanya Hospital, Pune",18.5089079,73.834105,hospital,Maharashtra,Pune,,
Niramaya Cancer Hospital,20.8994842,74.7827386,hospital,Maharashtra,Dhule,,
Sai Sneh Hospital and Diagnostic Centre Pvt Ltd,18.4465478,73.8597831,hospital,Maharashtra,Pune,,
Bhagawati Netralaya,18.7552529,73.8611611,hospital,Maharashtra,Pune,,
"Wachche Hospital, Solapur",17.6377251,75.9046376,hospital,Maharashtra,Solapur,,
Patki Hospital,16.700427,74.239136,hospital,Maharashtra,Kolhapur,,
"Sanjivni Hospital, Thane",19.1574092,72.9984902,hospital,Maharashtra,Thane,,
Tungenwar Orthopaedic and Maternity Hospital,19.1561901,77.3070078,hospital,Maharashtra,Nanded,,
"Shinde Hospital, Malshiras",17.8640956,74.9064602,hospital,Maharashtra,Pune,,
Shushila Hospital Latur,18.3845666,76.5606871,hospital,Maharashtra,Latur,,
Glocal Hospital - Bolpur,23.6777662,87.7178076,hospital,West Bengal,Birbhum,,
Lions Club of Barddhaman,23.2429234,87.869797,hospital,West Bengal,Bardhaman,,
Bellona Nursing Home And Diagnostic Centre,22.5296568,88.3262127,hospital,West Bengal,Kolkata,,
Baranagar State General Hospital,22.6385309,88.3803762,hospital,West Bengal,North 24 Parganas,,
Jalna Mission Hospital - Jalna,19.8490395,75.9053296,hospital,Maharashtra,Jalna,,
G.T. Memorial Hospital and Icu,21.1083245,79.0616861,hospital,Maharashtra,Nagpur,,
Chokher Aloy,22.5768741,88.301756,hospital,West Bengal,Howrah,,
"Gita Seva Sadan, Arambagh",22.8896139,87.7789714,hospital,West Bengal,Hooghly,,
Dr. Mina Majumder Seva Mandir Pvt. Ltd,22.5041947,88.3708222,hospital,West Bengal,Kolkata,,
Lions Eye Care Hospital,23.2422526,87.8621463,hospital,West Bengal,Bardhaman,,
Navjeevan Hospital and Rural Health Care Centre,26.616709,88.3128103,hospital,West Bengal,Bhalamanashi,,
Chandannagore (S D ) Hospital,22.8692195,88.3725494,hospital,West Bengal,Hooghly,,
Jyotirmoyee Arogya Bhawan,22.7633089,88.1694069,hospital,West Bengal,Hooghly,,
Disha Eye Care,22.578847,88.2555755,hospital,West Bengal,Howrah,,
Asmii Eye Foundation,22.6626932,88.4085602,hospital,West Bengal,North 24 Parganas,,
Neotia Getwel Multispecialty Hospital,26.7254897,88.3936653,hospital,West Bengal,Darjeeling,,yes
Jeevandeep Seva Sadan,22.8204316,88.2089442,hospital,West Bengal,Hooghly,,
Nemesis Eye Centre,22.5185965,88.3545157,hospital,West Bengal,Kolkata,,
Mother Teresa (Memorial) Care Home,22.7509403,88.3716105,hospital,West Bengal,North 24 Parganas,,
Nayandeep Eye Care,22.6603165,88.364857,hospital,West Bengal,Kolkata,,
Dum Dum Eye Microsurgery Centre,22.6300129,88.3853162,hospital,West Bengal,Kolkata,,
Gandhi Memorial Hospital,22.9664691,88.4727804,hospital,West Bengal,Nadia,,
Bangur Medicare Research Institute,22.4573942,88.3045549,hospital,West Bengal,Kolkata,,
RSV Hospital,22.5030685,88.3447391,hospital,West Bengal,Kolkata,,
Amrapali Medical Center and Nursing Home Pvt Ltd,22.5137686,88.3922598,hospital,West Bengal,Kolkata,,
Amiyaa Maternity Cum Nursing Home,22.3167856,87.2932756,hospital,West Bengal,Medinipur West,,
All Asia Medical Institute,22.524196,88.3617255,hospital,West Bengal,Kolkata,,
"Lions Eye Hospital,Alipurduar",26.4811994,89.5279728,hospital,West Bengal,Jalpaiguri,,
Diamond Eye And Health Care Society,23.0756652,88.2811117,hospital,West Bengal,Hooghly,,
Dhakuria Sree Ramkrishna Sebasram,22.5111409,88.3732912,hospital,West Bengal,Kolkata,,
Dewan Medicare And Nursing Home,22.7121661,88.3733891,hospital,West Bengal,North 24 Parganas,,
Dr Khade Hospital,18.7538351,73.8603021,hospital,Maharashtra,Pune,,
Ankur Children's Hospital,16.2676066,73.7079097,hospital,Maharashtra,Sindhudurg,,
Shushrusha Ortho and Spine Care Hospital,21.1191,79.0727676,hospital,Maharashtra,Nagpur,,
Parel Institute Of Orthopaedic Specialities,19.0056262,72.8449465,hospital,Maharashtra,Mumbai,,
Shri Sai Cardiac Center (Unit Of Mahalaxmi Hrudayalaya) - Kolhapur,16.6954461,74.245519,hospital,Maharashtra,Kolhapur,,
Narurkar Ent Hospital,19.0494367,72.9063436,hospital,Maharashtra,Mumbai,,
Getwell Fracture and Accident Hospital,16.2598762,73.7143309,hospital,Maharashtra,Sindhudurg,,
Jyoti Care and Research Foundation,16.992991,73.3173498,hospital,Maharashtra,Ratnagiri,,
Zilpelwar Orthopaedic and Rehabilitation Center,19.9081921,77.5703537,hospital,Maharashtra,Yavatmal,,
Vision Tec Advanced Eye Care Centre,19.2915132,73.0566332,hospital,Maharashtra,Thane,,
Vaidya Eye Hospital,16.9900052,73.3041112,hospital,Maharashtra,Ratnagiri,,
Sumitra Hospital,16.6769998,74.5919608,hospital,Maharashtra,Kolhapur,,
Elite Hospital - Mumbai - Borivali (W),19.2394286,72.864587,hospital,Maharashtra,Mumbai,,
Ishan Hospital,16.7166872,74.2413609,hospital,Maharashtra,Kolhapur,,
Barmade Hospital,18.3865895,76.5608253,hospital,Maharashtra,Latur,,
Vairat Hospital,16.7005978,74.2278667,hospital,Maharashtra,Kolhapur,,
Niramay Medical Foundation and Research Centre Pvt. Ltd.,18.1560658,74.5852254,hospital,Maharashtra,Pune,,
Arihant Surgical and Maternity Hospital,21.1529621,79.1042722,hospital,Maharashtra,Nagpur,,
Prayas Hospital,18.6995183,72.9288507,hospital,Maharashtra,Raigarh,,
Sushama Patkar Maternity ( and Surgical) Home - Bandra,19.053611,72.8246194,hospital,Maharashtra,Mumbai,,
Dr Kadam Surgical Hospital,18.085219,75.4109408,hospital,Maharashtra,Solapur,,
Platina Heart Hospital,21.140486,79.0854666,hospital,Maharashtra,Nagpur,,
"Kabre Orthopedic, Spine and Dental Centre",18.6490413,73.8076058,hospital,Maharashtra,Pune,,
"Chavan hospital, Pune",18.6332402,73.8167819,hospital,Maharashtra,Pune,,
Netra Sanjivani Dr Bokil Eye Hospital,17.6896472,74.0068761,hospital,Maharashtra,Satara,,
Kushal Maternity and Sonography Centre,19.8703033,75.3664919,hospital,Maharashtra,Aurangabad,,
"Joshi Hospital, Ahmednagar",19.1219273,74.7431271,hospital,Maharashtra,Ahmednagar,,
Mandapeshwar Hospital and Clinics,19.2374856,72.856122,hospital,Maharashtra,Mumbai,,
"Sanjeevan Hospital, Satara",18.144543,73.9758369,hospital,Maharashtra,Satara,,
Maa Ganga Memorial Baheti Hospital,20.1225688,77.127857,hospital,Maharashtra,Washim,,
Shivaani Mother and Child Care Hospital,19.1684046,72.9390344,hospital,Maharashtra,Mumbai,,
Purnima Hospital,19.2366619,72.8607662,hospital,Maharashtra,Mumbai,,
"Prabhat Hospital, Nagpur",21.2183208,79.1980241,hospital,Maharashtra,Nagpur,,
Rahate Surgical Hospital,21.149186,79.1163482,hospital,Maharashtra,Nagpur,,
Diamond Maternity and General Hospital,19.1496936,72.9423738,hospital,Maharashtra,Mumbai,,
Shree Prajakta Multispeciality Hospital,19.3057972,73.0576484,hospital,Maharashtra,Thane,,
Shree Datta Shetkari Sahakari Sakhar Karkhana Ltd,16.7511787,74.5888115,hospital,Maharashtra,Kolhapur,,
Vinayak Maternity and General Hospital,19.1946863,72.8334036,hospital,Maharashtra,Mumbai,,
Maniyar Childrens Hospital,17.5328937,73.512437,hospital,Maharashtra,Ratnagiri,,
Parulekar Maternity and Surgical Nursing Home - Mumbai,19.1322818,72.8496706,hospital,Maharashtra,Mumbai,,
Dr. Trivedi's Maternity Nursing Home & Aakar IVF Test Tube Baby Centre,19.0782709,72.9058555,hospital,Maharashtra,Mumbai,,
Padamawati Maternity and Nursing Home,19.3139088,72.8546105,hospital,Maharashtra,Thane,,
Padam.Dr.D.Y.Patil Hospital and Research Centre,18.6240215,73.8212612,hospital,Maharashtra,Pune,,
Apex Hospital,19.2317755,72.8496417,hospital,Maharashtra,Mumbai,,
Ashtavinayak Maternity Surgical and Eye Hospital,19.0202665,72.8339642,hospital,Maharashtra,Mumbai,,
Kullolli Hospital,16.8511231,74.5974764,hospital,Maharashtra,Sangli,,
Pramila Hospital,19.1971731,72.9907112,hospital,Maharashtra,Thane,,
Bombay City Eye Institute and Research Centre,18.9580372,72.8095293,hospital,Maharashtra,Mumbai,,
"Medicare Hospital, Thane",19.2001032,72.9630549,hospital,Maharashtra,Thane,,
"Masai Medical Foundation, Shri Swami Samarath Hosp",16.6981251,74.2246715,hospital,Maharashtra,Kolhapur,,
Lohade Hospital,18.6405777,73.7945558,hospital,Maharashtra,Pune,,
Palwe Hospital,17.8370271,73.9200034,hospital,Maharashtra,Satara,,
Rajashree Hosptail,17.2842145,74.183692,hospital,Maharashtra,Satara,,
Sreeprabha Othopaedic and Trauma Hospital / Shreeprabha Ortho and Accident Hospital,21.1142128,79.0542973,hospital,Maharashtra,Nagpur,,
Kapale Hospital - Kolhapur,16.6998553,74.2417042,hospital,Maharashtra,Kolhapur,,
"Shreeji Hospital, Nashik",19.9964383,73.7799472,hospital,Maharashtra,Nashik,,yes
"Shraddha Hospital, Mumbai",19.2534474,72.8640988,hospital,Maharashtra,Mumbai,,
Venkateswara Netralaya and Research Inst.,21.1387549,79.0600781,hospital,Maharashtra,Nagpur,,
Asmi Arthroscopy and Sports Medicine Institute,19.0051336,72.8485903,hospital,Maharashtra,Mumbai,,
Arya Womens Health Care Centre Surgical and Maternity Home,19.2069967,72.8352108,hospital,Maharashtra,Mumbai,,
"Chiranjeev Hospital, Nashik",19.9888741,73.7800531,hospital,Maharashtra,Nashik,,
Rukad Fracture Accident and Orthopaedic Hospital,16.5804971,74.3099121,hospital,Maharashtra,Kolhapur,,
Coal City Hospital,19.9690809,79.309252,hospital,Maharashtra,Chandrapur,,
Somani Hospital and Shree Critical Care Centre,18.2356654,75.6947051,hospital,Maharashtra,Solapur,,
"Lodha Hospital, Pune",18.4833651,73.8004071,hospital,Maharashtra,Pune,,
Deep Nursing Home,27.5011081,77.6614228,hospital,Uttar Pradesh,Mathura,,
"Anand Hospital, Chakan",18.7613744,73.8622025,hospital,Maharashtra,Pune,,
Gune Hospital,18.9902872,73.1144723,hospital,Maharashtra,Raigarh,,
Beramjis Hospital,18.9547128,72.8182693,hospital,Maharashtra,Mumbai,,
Dr Sonagra Medical and Surgical Centre,19.0875674,72.9045278,hospital,Maharashtra,Mumbai,,
"Wadekar Hospital, Nanded",19.1561331,77.3100252,hospital,Maharashtra,Nanded,,
Sanap Hospital,19.1077034,74.742191,hospital,Maharashtra,Beed,,
"Bhandari Hospital, Solapur",17.6646793,75.9005425,hospital,Maharashtra,Solapur,,
G S B S Medical Trust,19.015612,72.8451866,hospital,Maharashtra,Mumbai,,
Kopardes Hospital,19.2153981,73.0951665,hospital,Maharashtra,Thane,,
Raghunathrao Nimbalkar Memorial Hospital,16.694789,74.2165115,hospital,Maharashtra,Kolhapur,,
Gupte Maternity and Surgical Home,19.0346836,72.8401695,hospital,Maharashtra,Mumbai,,
"Adarsh Hospital, Pune",18.4541274,73.8881166,hospital,Maharashtra,Pune,,
Kalyan Metro Multi Speciality Hospital Pvt. Ltd,19.2241613,73.1247076,hospital,Maharashtra,Thane,,
Shri Uttam Hospital,19.2099361,72.9615435,hospital,Maharashtra,Thane,,
Ameya Orthopaedic Centre,19.24071,72.8547446,hospital,Maharashtra,Mumbai,,
Pawar Surgical Hospital,17.2847709,74.1823898,hospital,Maharashtra,Satara,,
Jeevan ram Hospital,19.0853723,72.9067473,hospital,Maharashtra,Mumbai,,
Dr. Fonsecas Maternity and Surgical Home,19.0414249,72.8453261,hospital,Maharashtra,Mumbai,,
Bhandare Maternity and Accident Hospital,18.1433883,74.5749593,hospital,Maharashtra,Pune,,
Vivek Pathology Laboratory,19.1022549,72.8486849,hospital,Maharashtra,Mumbai,,
Clear Vision Eye Center,19.0880578,72.9052141,hospital,Maharashtra,Mumbai,,
Shree Swami Samartha Netralaya,19.2027667,72.9720712,hospital,Maharashtra,Thane,,
Sanjivani Accident Hospital,17.8900636,75.0061136,hospital,Maharashtra,Solapur,,
Mohanlal Jivandas Hospital managed by Krishnai Hospital,19.0814104,73.0005576,hospital,Maharashtra,Thane,,
Sukhmani Hospital,19.2324827,73.1625932,hospital,Maharashtra,Thane,,
Yamuna Surgicals,16.6904908,74.4550605,hospital,Maharashtra,Kolhapur,,
Jay Polyclinic Maternity Surgical Nursing Home and Eye Hospital,19.1849348,72.8450726,hospital,Maharashtra,Mumbai,,
Siddhivinayak Hospital,18.9919712,73.1146735,hospital,Maharashtra,Raigarh,,
Shraddha Hospital,18.7456936,73.4131403,hospital,Maharashtra,Pune,,
Krishnamai Medical and Research Foundtions - Nikop Hospital,17.9838878,74.4351625,hospital,Maharashtra,Satara,,
Dr Gadgil Eye Clinic and Lasik Laser Centre,19.1993572,72.9620062,hospital,Maharashtra,Mumbai,,
Sumitraraj Hospital,18.78366,73.3429965,hospital,Maharashtra,Raigarh,,
Life Line Hospital and Icu,19.2197582,73.08634,hospital,Maharashtra,Thane,,
Sudha Multispeciality Hospital and Critical Care Centre,20.9088798,74.7707149,hospital,Maharashtra,Dhule,,
